r1,r2,r3,r4,r5,r6,c1,c2,cost
15000.0,100,1000.0,1200.0,3900.0,470,2.2e-08,6.8e-08,2.8113490731568054
180,39000.0,3300.0,560,68000.0,22000.0,1.5e-09,1e-09,0.9663180454761026
56000.0,56000.0,390,56000.0,100,220,2.2e-08,3.3e-09,4.999724960334412
270,4700.0,2700.0,10000.0,150,3300.0,4.7e-09,1.5e-08,4.565176771171804
390,27000.0,270,4700.0,8200.0,1200.0,4.7e-08,4.7e-08,0.9780349704140769
5600.0,12000.0,470,4700.0,470,330,3.3e-08,1e-08,4.359582193973208
2200.0,120,680,2200.0,8200.0,1800.0,1e-09,3.3e-09,4.940927299567992
1500.0,2200.0,820,82000.0,3300.0,820,1e-08,2.2e-08,4.898801584338744
120,8200.0,10000.0,1500.0,3300.0,680,4.7e-08,4.7e-09,0.9855991434512227
180,390,330,33000.0,270,100,4.7e-08,4.7e-09,4.992662637336454
150,270,3900.0,1200.0,12000.0,100,1.5e-08,6.8e-08,0.7263013167012755
1800.0,12000.0,12000.0,15000.0,680,68000.0,4.7e-09,3.3e-09,3.348927120539206
1000.0,120,3900.0,2200.0,3900.0,56000.0,4.7e-08,1.5e-09,2.498267401762715
22000.0,2200.0,180,2700.0,1500.0,3900.0,4.7e-08,3.3e-08,2.6494759130204297
10000.0,18000.0,12000.0,820,100,680,1.5e-08,1e-09,4.105968119929198
3900.0,180,180,270,4700.0,33000.0,1.5e-08,1e-09,3.292382797836734
470,4700.0,150,220,33000.0,220,6.8e-09,4.7e-09,0.9755696200041482
220,2700.0,5600.0,680,56000.0,1800.0,3.3e-09,6.8e-08,1.1286004754304877
5600.0,1200.0,6800.0,2700.0,39000.0,1800.0,1e-08,1.5e-08,0.5902248065281298
15000.0,18000.0,1000.0,1800.0,1200.0,27000.0,6.8e-09,1.5e-08,2.526959000968284
18000.0,56000.0,1200.0,18000.0,15000.0,390,3.3e-08,3.3e-08,0.9511015142817492
2200.0,180,82000.0,10000.0,56000.0,180,2.2e-09,3.3e-09,1.2806749784063713
180,470,100,15000.0,150,5600.0,1.5e-09,6.8e-09,4.749617897291107
18000.0,1800.0,560,1800.0,82000.0,330,4.7e-08,3.3e-09,0.9671113136091591
3300.0,4700.0,330,3900.0,2700.0,82000.0,4.7e-09,2.2e-08,1.9589944030733464
6800.0,39000.0,2700.0,820,220,180,1e-08,3.3e-09,4.383484666270497
27000.0,1500.0,56000.0,150,1800.0,330,1e-08,1e-08,1.6498969163699115
100,6800.0,1200.0,680,22000.0,560,3.3e-09,1.5e-09,0.992988052181607
8200.0,10000.0,4700.0,56000.0,27000.0,8200.0,1.5e-09,3.3e-09,4.989584625129864
47000.0,3900.0,4700.0,330,100,56000.0,4.7e-08,2.2e-08,1.0623895548021898
560,330,47000.0,1200.0,470,39000.0,3.3e-08,1.5e-08,1.0644867720141513
4700.0,680,33000.0,56000.0,1000.0,47000.0,2.2e-08,1.5e-08,1.7928048947534279
33000.0,82000.0,100,120,68000.0,100,1.5e-08,2.2e-08,0.9469767635005433
3900.0,560,560,150,330,1200.0,1.5e-09,3.3e-08,2.5875643128066326
1800.0,680,180,180,18000.0,1500.0,1e-09,1e-08,4.911206219004625
470,15000.0,390,180,3300.0,560,1e-08,3.3e-09,0.9691640224687872
3900.0,470,5600.0,18000.0,22000.0,1000.0,4.7e-09,1.5e-08,3.7284625672080347
270,82000.0,8200.0,1200.0,10000.0,68000.0,1e-08,1.5e-09,0.9873935358867705
220,470,39000.0,330,33000.0,27000.0,3.3e-08,1.5e-09,1.0118209001494287
150,3900.0,47000.0,56000.0,12000.0,1200.0,3.3e-08,2.2e-09,0.9926528776954778
10000.0,180,15000.0,470,12000.0,5600.0,4.7e-09,2.2e-09,2.5021402948436586
3300.0,5600.0,4700.0,560,47000.0,1500.0,6.8e-08,4.7e-09,0.9989779960541458
47000.0,6800.0,22000.0,150,1500.0,150,3.3e-08,1e-09,3.063559084489109
150,470,1200.0,1200.0,120,220,4.7e-09,2.2e-09,4.962899582465262
22000.0,100,560,100,39000.0,82000.0,3.3e-09,2.2e-08,1.0807341938427948
4700.0,33000.0,47000.0,5600.0,8200.0,10000.0,1.5e-09,1.5e-08,2.5307281461721383
8200.0,180,270,10000.0,1200.0,1000.0,3.3e-08,6.8e-09,4.9228776024572145
12000.0,180,330,6800.0,8200.0,10000.0,4.7e-08,6.8e-08,2.100298365184002
1500.0,1800.0,18000.0,3300.0,18000.0,22000.0,1e-09,2.2e-09,2.564912522103104
